YEAR,PLACE,NUMBER OF MENTIONS
1606,Somers Isles,3
1606,West Indies,1
1608,Somers Isles,4
1609,Cape Comfort,2
1609,Jamestown,3
1609,Moyompo,1
1609,Ritanoe,1
1609,Roanoke,1
1609,Somers Isles,2
1611,Jamestown,1
1613,Berkeley's Hundred,1
1613,Somers Isles,1
1614,Henrico City,1
1615,Appomattox,1
1615,Berkeley's Hundred,16
1615,Bermuda Hundred,8
1615,Blunt's Point,1
1615,Cape Cod,1
1615,Cape Comfort,1
1615,Charles City,1
1615,Chesapeake Bay,1
1615,Chickahominy River,1
1615,Elizabeth City,4
1615,Henrico City,5
1615,James City,7
1615,James River,2
1615,Jamestown,6
1615,Kecoughtan,11
1615,Martin's Hundred,2
1615,Monahigon,1
1615,Moyompo,2
1615,Newport News,1
1615,Pamunkey River,2
1615,Plymouth,6
1615,Point Comfort,1
1615,Potomac River,2
1615,Queen's Creek,1
1615,Ritanoe,1
1615,Roanoke,2
1615,Smith's Hundred,5
1615,Somers Isles,39
1615,Southampton Hundred,2
1615,Warrascoyack,4
1615,West Indies,1
1616,Berkeley's Hundred,1
1616,Bermuda Hundred,1
1616,Jamestown,1
1616,Kecoughtan,1
1616,Plymouth,1
1617,Berkeley's Hundred,3
1617,Bermuda Hundred,5
1617,Cape Cod,1
1617,Jamestown,8
1617,Kecoughtan,1
1617,Plymouth,4
1617,Point Comfort,2
1617,Potomac River,1
1617,Somers Isles,2
1618,Charles City,3
1618,Henrico City,4
1618,James City,1
1618,Jamestown,7
1618,Kecoughtan,2
1618,Martin's Hundred,3
1618,Queen's Creek,3
1618,Smith's Hundred,5
1618,Somers Isles,2
1618,Southampton Hundred,3
1618,West Indies,2
1619,Berkeley's Hundred,4
1619,Cape Cod,1
1619,Charles City,4
1619,Elizabeth City,2
1619,Henrico City,7
1619,James City,28
1619,James River,1
1619,Jamestown,3
1619,Kecoughtan,7
1619,Martin's Hundred,12
1619,Newport News,1
1619,Plymouth,3
1619,Point Comfort,2
1619,Smith's Hundred,26
1619,Somers Isles,6
1619,Southampton Hundred,1
1619,West Indies,4
1620,Berkeley's Hundred,6
1620,Cape Cod,6
1620,Charles City,5
1620,Choapooks Creek,1
1620,Elizabeth City,5
1620,Henrico City,6
1620,James City,20
1620,Kecoughtan,4
1620,Martin's Hundred,1
1620,Monahigon,2
1620,Newport News,1
1620,Plymouth,9
1620,Point Comfort,3
1620,Roanoke,1
1620,Smith's Hundred,4
1620,Smith's Island,1
1620,Somers Isles,30
1620,Southampton Hundred,4
1620,West Indies,6
1621,Berkeley's Hundred,1
1621,Cape Cod,3
1621,Charles City,2
1621,Chickahominy River,1
1621,Elizabeth City,1
1621,Henrico City,3
1621,James City,22
1621,James River,4
1621,Jamestown,1
1621,Martin's Hundred,9
1621,Newfoundland,1
1621,Newport News,2
1621,Plymouth,1
1621,Roanoke,9
1621,Somers Isles,11
1621,Southampton Hundred,7
1621,West Indies,1
1622,Berkeley's Hundred,9
1622,Bermuda Hundred,2
1622,Blunt's Point,6
1622,Cape Cod,1
1622,Charles City,10
1622,Chesapeake Bay,2
1622,Choapooks Creek,1
1622,Elizabeth City,4
1622,Henrico City,15
1622,James City,32
1622,James River,2
1622,Jamestown,3
1622,Kecoughtan,5
1622,Martin's Hundred,27
1622,Newport News,3
1622,Pamunkey River,2
1622,Plymouth,5
1622,Potomac River,2
1622,Smith's Hundred,2
1622,Somers Isles,143
1622,Southampton Hundred,12
1622,Warrascoyack,8
1622,West Indies,23
1623,Appomattox,3
1623,Berkeley's Hundred,1
1623,Blunt's Point,2
1623,Bowiers Bay,1
1623,Cape Comfort,1
1623,Cape Henry,2
1623,Charles City,13
1623,Chesapeake Bay,4
1623,Chickahominy River,1
1623,Elizabeth City,11
1623,Henrico City,16
1623,James City,74
1623,James River,2
1623,Jamestown,11
1623,Kecoughtan,6
1623,Martin's Hundred,19
1623,Mattaponi River,2
1623,Newport News,8
1623,Pamunkey River,3
1623,Plymouth,2
1623,Point Comfort,1
1623,Potomac River,4
1623,Rappahannock River,3
1623,Roanoke,2
1623,Somers Isles,134
1623,Southampton Hundred,6
1623,Tappahanna,1
1623,Warrascoyack,20
1623,West Indies,15
1624,Bowiers Bay,2
1624,Cape Comfort,4
1624,Henrico City,34
1624,James City,9
1624,Martin's Hundred,4
1624,Mattaponi River,1
1624,Newport News,1
1624,Plymouth,8
1624,Point Comfort,3
1624,Somers Isles,7
1624,Southampton Hundred,1
1624,West Indies,2
1625,Appomattox,1
1625,Blunt's Point,1
1625,Charles City,2
1625,Elizabeth City,2
1625,James City,4
1625,James River,2
1625,Martin's Hundred,1
1625,Newport News,2
1625,Somers Isles,8
1625,Southampton Hundred,2
1625,Tappahanna,1
1625,West Indies,4
1626,Henrico City,2
1626,James River,1
1626,Martin's Hundred,1
1626,Somers Isles,1
1626,Southampton Hundred,1
1626,West Indies,2
