PLACE,DLATITUDE,DLONGITUDE
Martin's Hundred, 37.1785, -76.6115
Smith's Hundred, 37.310500, -76.964450
Berkeley's Hundred, 37.321667, -77.181667
Bermuda Hundred, 37.339389, -77.278083
Southampton Hundred, 37.310500, -76.964450
Elizabeth City, 37.014444, -76.346389
Kecoughtan, 37.014444, -76.346389
Jamestown, 37.209167, -76.7775
James City, 37.31, -76.77
Charles City, 37.35, -77.06
Chesapeake Bay, 37.8, -76.1
Henrico City, 37.374, -77.362
James River, 36.941667, -76.443611
Point Comfort, 37.000556, -76.311389
Cape Comfort, 37.000556, -76.311389
Pamunkey River, 37.5175, -76.791389
Chickahominy River, 37.233611, -76.889722
Potomac River, 38, -76.335
Plymouth, 41.958333, -70.667778
Cape Cod, 41.68, -70.2
Newfoundland, 53.23, -59.999167
West Indies, 19, -71
Somers Isles, 32.32, -64.74
Warrascoyack, 36.978889, -76.618611 
Choapooks Creek, 37.139925098442916, -76.70742257146333
Ritanoe, 36.622222, -78.562222
Moyompo, 38.656389, -77.179167
Monahigon, 43.762222, -69.320278
Smith's Island, 37.983333, -76.033333
Queen's Creek, 37.299691528750316, -76.65024474897791
Rappahannock River, 37.5875, -76.289167
Tappahanna, 37.922222, -76.863056
Mattaponi River, 37.295556, -76.666667
Bowiers Bay, 39.059722, -75.401389
Appomattox, 37.320833, -77.275556
Newport News, 37.070833, -76.484444
Roanoke, 37.270556, -79.9425 
Blunt's Point, 37.064028, -76.519417
Cape Henry, 36.924806, -76.020111
