Year,Entity Text,Instances
1619,Salisbury,1
1619,Virginia,89
1619,Southampton,16
1619,Io,3
1619,Thorpe,8
1619,Caninge,6
1619,Cattle,1
1619,Neptune,1
1619,Appeale,2
1619,Pembrooke,1
1619,Sumerscales,2
1619,Kingdome,1
1619,Bishop,1
1619,Lichfield,1
1619,Henrico,2
1619,Bingham,2
1619,Lottery,2
1619,Warwick,4
1619,Ditchfield,2
1619,Boothby,2
1619,Audite,1
1619,Landing,1
1619,Samms,1
1619,Corne,4
1619,Captaine,2
1619,Kentishmen,1
1619,Warwicke,7
1619,Canterbury,1
1619,Catalogue,1
1619,London,11
1619,Cōpany,2
1619,Lading,1
1619,Cape,3
1619,Town,1
1619,Heauen,1
1619,Towne,1
1619,Assignees,1
1619,Landᵉ,1
1619,Lands,2
1619,Estates,1
1619,Howbeit,1
1619,Decimo,1
1619,Abbott,1
1619,Chauncery,1
1619,Ianuary,2
1619,Aprill,1
1619,England,5
1619,Newfoundland,2
1619,Silk,1
1619,Loane,1
1619,Bohun,1
1619,Esq,1
1619,Clitherowe,1
1619,Keightley,3
1619,Berblock,2
1619,Barnard,1
1619,Mellinge,1
1619,Earles,1
1619,Caution,2
1619,Courtes,2
1619,the Comon Garden,1
1619,Goates,1
1619,Apprentices,1
1619,Soile,1
1619,Springe,1
1619,Captivity,1
1619,the State of Virginia,1
1619,Writinge,1
1619,Cape Codd,1
1619,the North Colony,1
1619,Sea,1
1619,North Colony,1
1619,Tilbury,1
1619,MS,1
1619,Humiliation,1
1619,Jerusalem,1
1619,Kingdom,39
1619,the Kingdom of God,37
1619,Imposition,1
1619,LL,1
1619,Marchandizes,1
1619,Consideraton,1
1619,Traffique,2
1619,Complaine,1
1619,Tres,2
1619,Articles,1
1619,the Tres Pattents,1
1619,Gardian,1
1619,Munday,1
1619,Dʳ Winstone,2
1619,Sparrow,1
1619,Commaund,2
1619,Prevyledge,1
1619,Rowles,1
1619,Crowe,1
1619,Burroughs,4
1619,Swinhowe,1
1619,Battery,1
1619,Advantage,1
1619,Christianytie,1
1619,Companys,1
1619,the Summer Islands,1
1619,South,2
1619,Clarke,1
1619,North Colonies,1
1619,Vppon,1
1620,Recorded,1
1620,Children,2
1620,Virginia,41
1620,Tobacco,1
1620,Southampton,3
1620,Phisicke,1
1620,Cattle,2
1620,Mr Leate,1
1620,Land,1
1620,the Somer Islands,2
1620,Capital,1
1620,iiijᵗ,1
1620,Pembrooke,1
1620,Warwicke,2
1620,Tytles,1
1620,Sixt,1
1620,London,2
1620,Att,1
1620,England,3
1620,Seaven,1
1620,Lands,1
1620,Christianytie,1
1620,Coveringe,1
1620,River,1
1620,Choapooks Creek,1
1620,Io,1
1620,Husband,2
1620,Garland,2
1620,the Summer Islands,2
1620,Caninge,1
1620,Societie,1
1620,Agnes Nicholls,1
1620,Voyadge,1
1620,Tenante,1
1620,Cape,1
1620,Clarke,1
1620,the Cape Marchant,1
1620,Chosen,1
1620,Cape Marchant's,1
1620,Plymouth,2
1620,Articles,1
1620,James City,1
1690,Virginia,1
1690,Tilbury,1
1690,Io,1
1690,Dʳ Winstone,1
1690,Berblock,1
1690,Mellinge,1
1690,Glocestersheire,1
