Year,Entity Text,Instances
1620,Tonne,1
1620,England,28
1620,Virginia,83
1620,Tunne,1
1620,london,1
1620,London,22
1620,Threescore,1
1620,Comaundinge,1
1620,Port,1
1620,Interupt,1
1620,Wittnesse,1
1620,Ireland,10
1620,Scotland,8
1620,Bristoll,26
1620,Cambridge,5
1620,Rochester,1
1620,Chickahominy,1
1620,extrem,1
1620,Esq,5
1620,Prestwood,1
1620,the County of,2
1620,Berkeley,2
1620,Hayles,3
1620,Glouc,2
1620,Captayne,1
1620,VIRGINIA,2
1620,the City of London,2
1620,Country,2
1620,England France,3
1620,Wanswell,1
1620,xvij,2
1620,Payd,10
1620,parsnip,1
1620,turnep,1
1620,Thorpe,1
1620,Deane,1
1620,xvj,1
1620,Straits,1
1620,Newfoundland,1
1620,Inned,1
1620,Aprill,1
1620,England Giles Carter,1
1620,Wherin,1
1620,huswifry,1
1620,Marsellis,1
1620,Silk,1
1620,Northborn,1
1620,Io,1
1620,acq.,1
1620,Sea,1
1620,Garlik,1
1620,France,3
1620,Preestwood,1
1620,the County of Buck: Esquire,1
1620,Captaine,11
1620,Merchandize,2
1620,the Summer Islands,1
1620,Northborne,1
1620,Juris,2
1620,Jure,1
1620,Warwicke,3
1620,properlie,1
1620,Companie,1
1620,Neptune,1
1620,St. Michaells Islands,1
1620,Persia,1
1620,fieri,1
1620,Coppye,1
1620,the Colony of Virginia,1
1620,Ps Es,1
1620,Pretending,1
1620,Proclamacion,1
1620,dutye,1
1620,Maᵗᵉs,1
1620,Southampton,2
1620,Virginea,1
1620,Drunkenesse,3
1620,Corne,2
1620,Consumed,1
1620,Ale,3
1620,Towne,4
1620,Drunckenesse,3
1620,Workemen,1
1620,Continue,1
1620,Villages,1
1620,Rate,1
1620,Carriage,1
1620,Victualler,1
1620,"the County, Citty",1
1620,Libertie,2
1620,Citty,1
1620,Comming,1
1620,Mansion,1
1620,West,1
1620,East,1
1620,South,1
1620,maine,1
1620,Marche,1
1620,Irland,1
1620,Defendour,1
1620,Our Reigne,1
1620,Mᵗʳ,1
1621,Innocencye,1
1621,Maiestye,1
1621,valientlye,1
1621,Muske Ratte,1
1621,Virginia,200
1621,Newfoundland,2
1621,New-England,3
1621,America,4
1621,Seamen,1
1621,Sea,20
1621,Continue,1
1621,England,42
1621,Wales,1
1621,Boates,1
1621,Cambridge,15
1621,St. Martins,1
1621,London,24
1621,CLXIII,1
1621,Bristoll,1
1621,Stamford,1
1621,Crowne,3
1621,Capital,1
1621,Selfe,1
1621,Lesse,1
1621,Henrico,2
1621,yo[u,3
1621,"the George

2",1
1621,DD,1
1621,Conceaue,1
1621,Corrupted,1
1621,Lodginge,1
1621,Bay,4
1621,Country,3
1621,Italie,1
1621,Tres,1
1621,Southampton,7
1621,New England,2
1621,Colonies,9
1621,att Sea,1
1621,Limitation,1
1621,Allmyghty,1
1621,CLXXVII,1
1621,VIRGINIA,32
1621,the Kingdome of Virginia,2
1621,Holland,3
1621,Ireland,19
1621,France,6
1621,England France,3
1621,Scotland,16
1621,Washington,11
1621,Captaine,3
1621,the Coast of the West Indies,1
1621,accesse,1
1621,the Coast of Virginia,1
1621,Savages,2
1621,Towne,4
1621,Encreased,1
1621,Burroughs,1
1621,Carefull,1
1621,Curing,1
1621,Seasons,1
1621,Shipping,1
1621,Lands,1
1621,Negative voyce,1
1621,the sea Coast,1
1621,the City of London,2
1621,Elizabeth City,1
1621,Chirurgery,1
1621,Tenants,1
1621,Debts,1
1621,Earth,3
1621,Irland,1
1621,Shipp,5
1621,the Sea Coast,2
1621,Almightie,1
1621,Loving,3
1621,Highnes,1
1621,protec̄on,1
1621,Englishe,2
1621,Frenche,1
1621,Boroughs,1
1621,Soyle,1
1621,Henerico,1
1621,Cape,2
1621,Cape Marchant,1
1621,Shipwright,1
1621,Januarie,1
1621,Frenchmen,1
1621,Companie,9
1621,Ma'ties,2
1621,Wittnesse,5
1621,Warwicke,3
1621,Dutie,1
1621,Invoice,1
1621,Comand,1
1621,Downes,1
1621,Port,1
1621,the East Indya,1
1621,China,3
1621,fewe,1
1621,Came,1
1621,Contynewe,1
1621,Deale,1
1621,Norborne,1
1621,East India,1
1621,Silk,1
1621,Coes,1
1621,Horsebread,1
1621,the Sea coast,2
1621,Coast,4
1621,the Colonies of Virginia,1
1621,homewarde,1
1621,the Coast of America,3
1621,Ma'tie,1
1621,Voyadge,1
1621,Contrary,1
1621,River,3
1621,Tradeing,1
1621,Pyratts,1
1621,necessarye,1
1621,Cause,1
1621,Chancerye,1
1621,Thadventurers,1
1621,Paules,1
1621,Nouembᵉʳ,1
1621,& Ireland,2
1621,Adventures,1
1621,Furrs,1
