YEAR,PLACE,MENTIONS,DLATITUDE,DLONGTITUDE
1602,Somers Isles,1,32.32,-64.74
1606,Somers Isles,3,32.32,-64.74
1606,West Indies,1,19.0,-71.0
1608,Somers Isles,4,32.32,-64.74
1609,Cape Comfort,2,37.000556,-76.311389
1609,Jamestown,3,37.209167,-76.7775
1609,Moyompo,1,38.656389,-77.179167
1609,Ritanoe,1,36.622222,-78.562222
1609,Roanoke,1,37.270556,-79.9425
1609,Somers Isles,2,32.32,-64.74
1611,Jamestown,1,37.209167,-76.7775
1613,Berkeley's Hundred,1,37.321667,-77.181667
1613,Somers Isles,1,32.32,-64.74
1614,Henrico City,1,37.374,-77.362
1615,Appomattox,1,37.320833,-77.275556
1615,Berkeley's Hundred,16,37.321667,-77.181667
1615,Bermuda Hundred,8,37.339389,-77.278083
1615,Blunt's Point,1,37.064028,-76.519417
1615,Cape Cod,1,41.68,-70.2
1615,Cape Comfort,1,37.000556,-76.311389
1615,Charles City,1,37.35,-77.06
1615,Chesapeake Bay,1,37.8,-76.1
1615,Chickahominy River,1,37.233611,-76.889722
1615,Elizabeth City,4,37.014444,-76.346389
1615,Henrico City,5,37.374,-77.362
1615,James City,7,37.31,-76.77
1615,James River,2,36.941667,-76.443611
1615,Jamestown,6,37.209167,-76.7775
1615,Kecoughtan,11,37.014444,-76.346389
1615,Martin's Hundred,2,37.1785,-76.6115
1615,Monahigon,1,43.762222,-69.320278
1615,Moyompo,2,38.656389,-77.179167
1615,Newport News,1,37.070833,-76.484444
1615,Pamunkey River,2,37.5175,-76.791389
1615,Plymouth,6,41.958333,-70.667778
1615,Point Comfort,1,37.000556,-76.311389
1615,Potomac River,2,38.0,-76.335
1615,Queen's Creek,1,37.299691528750316,-76.65024474897791
1615,Ritanoe,1,36.622222,-78.562222
1615,Roanoke,2,37.270556,-79.9425
1615,Smith's Hundred,5,37.3105,-76.96445
1615,Somers Isles,39,32.32,-64.74
1615,Southampton Hundred,2,37.3105,-76.96445
1615,Warrascoyack,4,36.978889,-76.618611
1615,West Indies,1,19.0,-71.0
1616,Berkeley's Hundred,1,37.321667,-77.181667
1616,Bermuda Hundred,1,37.339389,-77.278083
1616,Jamestown,1,37.209167,-76.7775
1616,Kecoughtan,1,37.014444,-76.346389
1616,Plymouth,1,41.958333,-70.667778
1617,Berkeley's Hundred,3,37.321667,-77.181667
