PAGE NUMBER,Year,ENTITY NAME,POSITION,LABEL
1364,Unknown,Salisbury,1913-1922,GPE
1364,Unknown,Southampton,1961-1972,GPE
1364,Unknown,Suffolk,2011-2018,GPE
1364,Unknown,Shrewsbury,2193-2203,GPE
1367,Unknown,Kiquotan,596-604,GPE
1367,Unknown,Kiquotan,887-895,GPE
1368,1617,Virginia,296-304,GPE
1368,1617,the Bermuda City,876-892,GPE
1368,1617,Bermuda City,1588-1600,GPE
1368,1617,Scotland,1728-1736,GPE
1369,1617,Pohawtan,854-862,GPE
1369,1617,Ploughs,1212-1219,GPE
1373,1618,Virg,1413-1417,GPE
1375,1618,Covering,164-172,GPE
1376,1618,Throckmorton,1261-1273,GPE
1376,1618,Towne,1854-1859,GPE
1377,1618,Anville,328-335,GPE
1377,1618,pp,551-553,GPE
1377,1618,III,581-584,GPE
1377,1618,pp,586-588,GPE
1377,1618,Richmond,667-675,GPE
1377,1618,the City of London,763-781,GPE
1377,1618,Virginia,806-814,GPE
1377,1618,Virginia,860-868,GPE
1377,1618,Virginia,1032-1040,GPE
1377,1618,Realm,1454-1459,GPE
1378,1618,Virginia,327-335,GPE
1378,1618,Virginia,925-933,GPE
1378,1618,Virginia,1025-1033,GPE
1378,1618,Virginia,1395-1403,GPE
1378,1618,Virginia,1483-1491,GPE
1379,1618,Lands,229-234,GPE
1379,1618,England,932-939,GPE
1379,1618,Lands,1269-1274,GPE
1379,1618,Charles City Henrico,1915-1935,GPE
1379,1618,Burrough,1944-1952,LOC
1379,1618,Kiccowtan,1956-1965,GPE
1379,1618,Burroughs,2007-2016,GPE
1380,1618,Charles City,1455-1467,GPE
1380,1618,Henrico,1540-1547,GPE
1380,1618,Kicecowtan,1619-1629,LOC
1380,1618,Burroughs,2173-2182,GPE
1380,1618,Burroughs,2291-2300,GPE
1380,1618,Lands,2464-2469,GPE
1381,1618,Burroughs,523-532,GPE
1381,1618,Burroughs,1211-1220,GPE
1381,1618,Burroughs,1337-1346,GPE
1381,1618,Realm,1673-1678,GPE
1381,1618,Henrico,2041-2048,GPE
1381,1618,Lands,2300-2305,GPE
1381,1618,Henrico,2377-2384,GPE
1382,1618,Virginia,24-32,GPE
1382,1618,East,392-396,LOC
1382,1618,West,475-479,LOC
1382,1618,River,749-754,LOC
1382,1618,North,759-764,LOC
1382,1618,Lands,800-805,GPE
1382,1618,Charles City,890-902,GPE
1382,1618,Lands,1126-1131,GPE
1382,1618,Lands,1173-1178,GPE
1382,1618,Burroughs,1388-1397,GPE
1384,1618,Burroughs,405-414,GPE
1384,1618,Virginia,1554-1562,GPE
1384,1618,Virginia,1906-1914,GPE
1384,1618,Virginia,2514-2522,GPE
1385,1618,Virginia,279-287,GPE
1385,1618,Lands,385-390,GPE
1385,1618,Earth,1357-1362,LOC
1385,1618,Lands,1831-1836,GPE
1385,1618,Virginia,1840-1848,GPE
1385,1618,Virginia,2142-2150,GPE
1385,1618,Virginia,2456-2464,GPE
1386,1618,Virginia,290-298,GPE
1386,1618,Virginia,565-573,GPE
1386,1618,Virginia,775-783,GPE
1387,1618,Virginia,707-715,GPE
1387,1618,Virginia,1085-1093,GPE
1387,1618,the Inhabitants of Virginia,2059-2086,GPE
1387,1618,Lands,2346-2351,GPE
1387,1618,Virginia,2371-2379,GPE
1388,1618,Scotland,418-426,GPE
1388,1618,France,428-434,GPE
1388,1618,Ireland,440-447,GPE
1388,1618,England,484-491,GPE
1388,1618,France,493-499,GPE
1388,1618,Ireland,505-512,GPE
1388,1618,Scotland,534-542,GPE
1388,1618,Virginia,626-634,GPE
1388,1618,Gloucester,1707-1717,GPE
1388,1618,Nibley Esquire,1771-1785,LOC
1389,1618,England,151-158,GPE
1389,1618,Kingroad,708-716,GPE
1389,1618,Ireland,1380-1387,GPE
1389,1618,west sowwest,2278-2290,GPE
1394,1618,Sackville,274-283,GPE
1394,1618,Knole Park,285-295,GPE
1394,1618,Virginia,379-387,GPE
1394,1618,Ianuarie,542-550,GPE
1394,1618,Garland,1166-1173,GPE
1394,1618,the Summer Islands,1252-1270,LOC
1396,1618,Virginia,882-890,GPE
1396,1618,Virginia,1237-1245,GPE
1397,1618,London,209-215,GPE
1397,1618,Bohun,270-275,GPE
1397,1618,Virginia,444-452,GPE
1397,1618,Cattell,495-502,GPE
1397,1618,Virginia,607-615,GPE
1397,1618,Swine,760-765,GPE
1398,1618,England,1960-1967,GPE
1399,1618,Lands,237-242,GPE
1400,1618,Baylyes,227-234,GPE
1400,1618,Stalling,1195-1203,GPE
1400,1618,Cleft,1279-1284,GPE
1401,1618,the West Country,178-194,GPE
1401,1618,Swan,1664-1668,GPE
1401,1618,Virginia,2002-2010,GPE
1402,1618,Elisabeth City,130-144,GPE
1402,1618,River,1765-1770,LOC
1402,1618,River,1811-1816,LOC
1403,1618,Allmyghty,53-62,GPE
1403,1618,Thorpe,308-314,GPE
1403,1618,Virginia,571-579,GPE
1404,1618,Governour,21-30,GPE
1404,1618,Virginia,34-42,GPE
1404,1618,England,378-385,GPE
1404,1618,yong yett,1719-1728,GPE
1404,1618,Virginia,1794-1802,GPE
1405,1618,Downes,1587-1593,LOC
1405,1618,Downes,2050-2056,LOC
1407,1618,Southampton,114-125,GPE
1407,1618,Opachankeno,1911-1922,GPE
1408,1618,Duty,632-636,GPE
1408,1618,Elisabeth City,1347-1361,GPE
1409,1618,pp,222-224,GPE
1409,1618,England,449-456,GPE
1409,1618,Scotland,457-465,GPE
1409,1618,France,466-472,GPE
1409,1618,Ireland,477-484,GPE
1409,1618,England France,563-577,LOC
1409,1618,Ireland,582-589,GPE
1409,1618,Scotland,611-619,GPE
1409,1618,the City of London,702-720,GPE
1409,1618,Virginia,745-753,GPE
1409,1618,Clowerwall,859-869,GPE
1409,1618,the County of Glouces,873-894,GPE
1409,1618,Virginia,951-959,GPE
1409,1618,Wanswell,1010-1018,GPE
1409,1618,Virginia,1116-1124,GPE
1409,1618,Virginia,1837-1845,GPE
1409,1618,Towne,1878-1883,GPE
1410,1618,Virginia,417-425,GPE
1410,1618,Virginia,763-771,GPE
1410,1618,Virginia,2485-2493,GPE
1411,1618,Virginia,657-665,GPE
1411,1618,Virginia,2234-2242,GPE
1411,1618,Virginia,2402-2410,GPE
1411,1618,Virginia,2630-2638,GPE
1412,1618,England,2005-2012,GPE
1413,1618,Virginia,69-77,GPE
1413,1618,Virginia,830-838,GPE
1413,1618,Henrico,1256-1263,GPE
1413,1618,gras,1773-1777,GPE
1414,1618,London,227-233,GPE
1414,1618,Virginia,787-795,GPE
1414,1618,England,1326-1333,GPE
1415,1618,Virginia,162-170,GPE
1415,1618,Virginia,477-485,GPE
1415,1618,England,567-574,GPE
1415,1618,Virginia,622-630,GPE
1415,1618,Ireland,1078-1085,GPE
1415,1618,England,1272-1279,GPE
1416,1619,England,306-313,GPE
1416,1619,London,689-695,GPE
1416,1619,Virginia,781-789,GPE
1416,1619,London,795-801,GPE
1416,1619,Virginia,1142-1150,GPE
1417,1619,VIRGINIA,259-267,GPE
1417,1619,London,476-482,GPE
1417,1619,Thorpe,645-651,GPE
1417,1619,London,747-753,GPE
1417,1619,Virginia,1116-1124,GPE
1418,1619,Thorpe,41-47,GPE
1418,1619,Harwood,536-543,GPE
1418,1619,Husband,1224-1231,GPE
1418,1619,Bedle,1241-1246,GPE
1419,1619,LL,1244-1246,GPE
1419,1619,Husband,1398-1405,GPE
1419,1619,Treas,1603-1608,GPE
1421,1619,abilitye,997-1005,GPE
1421,1619,Virginia,1308-1316,GPE
1422,1619,Salarye,690-697,LOC
1422,1619,Husband,905-912,GPE
1422,1619,Treas,966-971,GPE
1422,1619,Treas,1465-1470,GPE
1423,1619,Treas,191-196,GPE
1423,1619,Virginia,263-271,GPE
1423,1619,Virginia,827-835,GPE
1424,1619,Virginia,56-64,GPE
1424,1619,London,210-216,GPE
1424,1619,Virginia,441-449,GPE
1424,1619,Virginia,510-518,GPE
1424,1619,Virginia,572-580,GPE
1424,1619,Colonies,872-880,GPE
1424,1619,the Somer Islands,1065-1082,GPE
1424,1619,Virginia,1274-1282,GPE
1424,1619,Colonies,1462-1470,GPE
1424,1619,the Somer Islands,1662-1679,GPE
1424,1619,Virginia,1918-1926,GPE
1425,1619,Virginia,119-127,GPE
1425,1619,England,308-315,GPE
1425,1619,France,1323-1329,GPE
1425,1619,Ireland,1334-1341,GPE
1425,1619,England,1371-1378,GPE
1425,1619,France,1379-1385,GPE
1425,1619,Ireland,1390-1397,GPE
1425,1619,Scotland,1422-1430,GPE
1425,1619,London,1637-1643,GPE
1425,1619,Virginia,1855-1863,GPE
1425,1619,Virginia,1904-1912,GPE
1425,1619,London,1922-1928,GPE
1425,1619,Virginia,2061-2069,GPE
1426,1619,Corne,685-690,GPE
1426,1619,Territories,2194-2205,LOC
1427,1619,Henrico,286-293,GPE
1427,1619,London,670-676,GPE
1427,1619,Nibley,737-743,GPE
1427,1619,Virginia,926-934,GPE
1428,1619,Virginia,282-290,GPE
1428,1619,Southampton,379-390,GPE
1428,1619,Warwicke,423-431,GPE
1428,1619,Thorpe,468-474,GPE
1428,1619,Virginia,890-898,GPE
1429,1619,Virginia,909-917,GPE
1429,1619,Virginia,1268-1276,GPE
1429,1619,Southampton,1623-1634,GPE
1429,1619,Southampton,1692-1703,GPE
1429,1619,Warwicke,1723-1731,GPE
1432,31,James city,1141-1151,GPE
1432,31,Virginia,1155-1163,GPE
1432,31,Captaine,1401-1409,GPE
1432,31,Virginia,1421-1429,GPE
1432,31,Burgesses,1572-1581,GPE
1433,31,Kiccowtan,147-156,GPE
1434,31,Virginia,1603-1611,GPE
1434,31,England,2461-2468,GPE
1435,31,Patente,755-762,GPE
1435,31,Patente,2353-2360,GPE
1437,31,Virginia,226-234,GPE
1437,31,England,1619-1626,GPE
1438,31,England,926-933,GPE
1438,31,England,1214-1221,GPE
1438,31,Virginia,1672-1680,GPE
1438,31,England,1985-1992,GPE
