page,entity_name,label,context,file
1364,Salisbury,GPE,"Thofis Perkins 12  
George Peatlie 20  
Ric. Percivall [blank space in manuscript]  
Michell Fettiplaise 12  
Edw. Perkins 50  
Willm. Fittiplaise 10  
George Prettie [blank space in manuscript]  
Robt. Parkhurst [blank space in manuscript]  
George Pitt [blank space in manuscript]  
Thofis Philipps",cleaned_VCRSection6.json
1364,Southampton,GPE,"Thofis Perkins 12  
George Peatlie 20  
Ric. Percivall [blank space in manuscript]  
Michell Fettiplaise 12  
Edw. Perkins 50  
Willm. Fittiplaise 10  
George Prettie [blank space in manuscript]  
Robt. Parkhurst [blank space in manuscript]  
George Pitt [blank space in manuscript]  
Thofis Philipps",cleaned_VCRSection6.json
1364,Suffolk,GPE,"Thofis Perkins 12  
George Peatlie 20  
Ric. Percivall [blank space in manuscript]  
Michell Fettiplaise 12  
Edw. Perkins 50  
Willm. Fittiplaise 10  
George Prettie [blank space in manuscript]  
Robt. Parkhurst [blank space in manuscript]  
George Pitt [blank space in manuscript]  
Thofis Philipps",cleaned_VCRSection6.json
1364,Shrewsbury,GPE,"Thofis Perkins 12  
George Peatlie 20  
Ric. Percivall [blank space in manuscript]  
Michell Fettiplaise 12  
Edw. Perkins 50  
Willm. Fittiplaise 10  
George Prettie [blank space in manuscript]  
Robt. Parkhurst [blank space in manuscript]  
George Pitt [blank space in manuscript]  
Thofis Philipps",cleaned_VCRSection6.json
1367,Kiquotan,GPE,"90 RECORDS OF THE VIRGINIA COMPANY

George Walker 25
Clement Wilmer 25
William Welbie 87
Francis Whistler 25
Tho: Wells 25
Tho: Wheele 12
Tho: Winne 25
John Whittingham 12
William Willet 12
Devoreux Woogan 50
Thomas Wale 75
John Weld 37
John Willet 37
Josiah Wooller 37
Thomas Ware 50

William Willes",cleaned_VCRSection6.json
1367,Kiquotan,GPE,"90 RECORDS OF THE VIRGINIA COMPANY

George Walker 25
Clement Wilmer 25
William Welbie 87
Francis Whistler 25
Tho: Wells 25
Tho: Wheele 12
Tho: Winne 25
John Whittingham 12
William Willet 12
Devoreux Woogan 50
Thomas Wale 75
John Weld 37
John Willet 37
Josiah Wooller 37
Thomas Ware 50

William Willes",cleaned_VCRSection6.json
1368,Virginia,GPE,"FEBRUARY 20, 1617/18

91

XLII. Governor ARGALL. COMMISSION TO WILLIAM CRADOCK

February 20, 1617/18

For Reference, See No. XXIII List of Records No. 65

[92] By the Admiral &c

To all to whom these presents shall come I Samuel Argall Esq. Admiral and for the Time present principal Governor of Virg",cleaned_VCRSection6.json
1368,the Bermuda City,GPE,"FEBRUARY 20, 1617/18

91

XLII. Governor ARGALL. COMMISSION TO WILLIAM CRADOCK

February 20, 1617/18

For Reference, See No. XXIII List of Records No. 65

[92] By the Admiral &c

To all to whom these presents shall come I Samuel Argall Esq. Admiral and for the Time present principal Governor of Virg",cleaned_VCRSection6.json
1368,Bermuda City,GPE,"FEBRUARY 20, 1617/18

91

XLII. Governor ARGALL. COMMISSION TO WILLIAM CRADOCK

February 20, 1617/18

For Reference, See No. XXIII List of Records No. 65

[92] By the Admiral &c

To all to whom these presents shall come I Samuel Argall Esq. Admiral and for the Time present principal Governor of Virg",cleaned_VCRSection6.json
1368,Scotland,GPE,"FEBRUARY 20, 1617/18

91

XLII. Governor ARGALL. COMMISSION TO WILLIAM CRADOCK

February 20, 1617/18

For Reference, See No. XXIII List of Records No. 65

[92] By the Admiral &c

To all to whom these presents shall come I Samuel Argall Esq. Admiral and for the Time present principal Governor of Virg",cleaned_VCRSection6.json
1369,Pohawtan,GPE,"92 RECORDS OF THE VIRGINIA COMPANY

XLII. Governor Argall. A Letter to THE VIRGINIA COMPANY March 10, 1617/18

For Reference, See No. XXIII List of Records No. 67

[50] 10 May 1617

The Gov'r tells ye Comp' in what a ruinous condition he found yᵉ Colony by yᵉ carelessness of yᵉ people & lawless livi",cleaned_VCRSection6.json
1369,Ploughs,GPE,"92 RECORDS OF THE VIRGINIA COMPANY

XLII. Governor Argall. A Letter to THE VIRGINIA COMPANY March 10, 1617/18

For Reference, See No. XXIII List of Records No. 67

[50] 10 May 1617

The Gov'r tells ye Comp' in what a ruinous condition he found yᵉ Colony by yᵉ carelessness of yᵉ people & lawless livi",cleaned_VCRSection6.json
1373,Virg,GPE,"94 RECORDS OF THE VIRGINIA COMPANY

XLVI. Sr. Edwin Sandys, Henry Timberlake, John Ferrar.

MEETING OF A COMMITTEE For Smythes Hundred

May 18, 1618

Ferrar Papers Document in Magdalene College, Cambridge University Photograph in Library of Congress. Corrections by Nicholas Ferrar and address and no",cleaned_VCRSection6.json
1375,Covering,GPE,"30) at 28  S=RBarrels’ 2  2 Sh 24  1s4¢ Day 234  96 RECORDS OF THE VIRGINIA COMPANY

Provisions for Lodging, Viz: for a flocke bed and boulster, 4-4 a blankett and Covering, with two pairs of tweed for every two men, Twenty at the Charge 36 li of 34°- 4 and nob for eur men x 2% & % = x for 734 servi",cleaned_VCRSection6.json
1376,Throckmorton,GPE,"MAY 18, 1618

Of Nailes of all sortes.................................................. 4° 8 0  
Files, pearser bitts, gimletts, chisells & augurs etc... 2 0 0  
Six Sithes, 10 sickles, 10 hatchetts etc.................... 1 0 0  
Extraordynary expenses for carrage portage etc. and high wayes.......",cleaned_VCRSection6.json
1376,Towne,GPE,"MAY 18, 1618

Of Nailes of all sortes.................................................. 4° 8 0  
Files, pearser bitts, gimletts, chisells & augurs etc... 2 0 0  
Six Sithes, 10 sickles, 10 hatchetts etc.................... 1 0 0  
Extraordynary expenses for carrage portage etc. and high wayes.......",cleaned_VCRSection6.json
1377,Anville,GPE,"98 RECORDS OF THE VIRGINIA COMPANY

Oyle Twiners ware & Lanturns Sea beeds For the women apparell 46 Duzun A Mill 10 Barralls of Good Whiskie Pepper & Spice 5 Barralls of Barly for the wall 4 Barralls of Grasses Beades of all Coullers 20 Sun Sixty nine pencils & parchments Tooles for a Brick yard A ",cleaned_VCRSection6.json
