entity_name,latitude,longitude
Salisbury,-34.783391296,138.631407471
Southampton,50.904882121,-1.404303871
Suffolk,36.728187,-76.583192
Shrewsbury,52.708181559,-2.754327487
Kiquotan,NA,NA
Virginia,37.512820504,-78.697948713
the Bermuda City,31.48739,-87.18831
Bermuda City,31.48739,-87.18831
Scotland,56.946591403367,-4.154497329206
Pohawtan,NA,NA
Ploughs,42.53952,-76.53939
Virg,57.0279994,28.9315157
Covering,34.040941,-118.423815
Throckmorton,52.145139106,-2.030036293
Towne,40.9703,-73.7134
Anville,45.82769,-0.10918
pp,-2.616552496862,138.525957310608
III,18.232969,-97.959098
Richmond,37.937865,-122.343146
the City of London,51.0251498,0.9965227
Realm,38.5749,-121.47232
Lands,-21.7708055,-41.3101516
England,52.594120681414,-1.46480421537
Charles City Henrico,37.510181847263,-77.363684464216007
Burrough,52.689976349,-0.879503515
Kiccowtan,37.02987,-76.34522
Burroughs,31.972827,-81.246037
Charles City,43.066415,-92.672524
Henrico,33.664831,-84.339091
Kicecowtan,37.02987,-76.34522
East,12.229379158842,0.921993084524
West,-7.5621723,111.4551139
River,-22.90642,-43.18223
North,34.4639449,35.9466045
Earth,34.234014,-102.410756
the Inhabitants of Virginia,47.52326,-92.53657
France,46.559417044,2.550539953
Ireland,53.175879846,-8.146006147
Gloucester,51.864557712,-2.246931011
Nibley Esquire,41.271333,-111.966053
Kingroad,37.4028264,-5.9558285
west sowwest,-7.5621723,111.4551139
Sackville,45.897931,-64.368366
Knole Park,51.2650202,0.2085754
Ianuarie,NA,NA
Garland,32.914343,-96.636564
the Summer Islands,32.30444,-64.75167
London,51.50740836,-0.127698693
Bohun,51.6142813,15.1034363
Cattell,50.8437885,-0.2205051
Swine,53.8063295,-0.275554117
Baylyes,35.27064,25.13783
Stalling,53.049458,8.6115121
Cleft,11.420633,76.849094
the West Country,-16.4712924,-54.6355295
Swan,-31.838271877,115.974789508
Elisabeth City,2.79656,-77.64293
Allmyghty,55.7521252,37.6708324
Thorpe,53.83397831,-1.728542776
Governour,45.03657,7.64047
yong yett,8.13333,14.18333
Downes,38.916031,-75.899645
Opachankeno,NA,NA
Duty,31.913127,-91.921277
England France,49.0438834,3.9550165
Clowerwall,46.054258,-118.385998
the County of Glouces,51.83333,-2.16667
Wanswell,51.71024542,-2.46040718
gras,44.4438,4.5404
VIRGINIA,37.512820504,-78.697948713
Harwood,-29.424920875,153.242104866
Husband,40.0419,-79.10164
Bedle,5.03333,42.8
LL,-42.245203474238,-73.235059725683
Treas,13.9007864,102.9326668
abilitye,50.4490725,6.893069
Salarye,42.839537,13.4923703
Colonies,37.2762309,-76.7705877
the Somer Islands,32.30444,-64.75167
Corne,47.47091,-0.34992
Territories,59.9189511,10.7575322
Nibley,41.6748931,-111.8494148
Warwicke,41.6986537,-71.4601801
James city,35.080433,-77.029236
Captaine,51.2091,2.8994
Burgesses,19.64942,-99.07767
Patente,10.18333,123.68333
Kiecowtan,37.02987,-76.34522
Incorporation,39.7759,-89.6438
Cape,8.4544781,123.2067603
Cape Marchant,-34.4666689,-71.6773923
Borough,52.8705431,-6.5453829
the Cape Marchant,-34.4666689,-71.6773923
Drunkennes,51.1384576,4.5959846
Englishe,-20.934912,33.7049233
Kicawtan,NA,NA
ill parte,42.204527,-88.316524
Bristoll,51.453132471,-2.600983373
